c,time
1.0,0
1.0,1
1.0,2
1.0,3
1.0,4
1.0,5
1.0,6
1.0,7
1.0,8
1.0,9
1.0,10
1.0,11
1.0,12
1.0,13
1.0,14
1.0,15
1.0,16
1.0,17
1.0,18
1.0,19
1.0,20
1.0,21
1.0,22
1.0,23
1.0,24
1.0,25
1.0,26
1.0,27
1.0,28
1.0,29
1.0,30
1.0,31
1.0,32
1.0,33
1.0,34
1.0,35
1.0,36
1.0,37
1.0,38
1.0,39
1.0,40
1.0,41
1.0,42
1.0,43
1.0,44
1.0,45
1.0,46
1.0,47
1.0,48
1.0,49
1.0,50
1.0,51
1.0,52
1.0,53
1.0,54
1.0,55
1.0,56
1.0,57
1.0,58
1.0,59
1.0,0
1.0,1
1.0,2
1.0,3
1.0,4
1.0,5
1.0,6
1.0,7
1.0,8
1.0,9
1.0,10
1.0,11
1.0,12
0.99999999,13
0.99999999,14
1.0,15
1.0,16
0.99999999,17
1.0,18
1.0,19
1.0,20
0.99999999,21
0.99999999,22
0.99999999,23
1.0,24
0.99999999,25
0.99999999,26
0.99999999,27
1.0,28
1.0,29
1.0,30
1.0,31
1.0,32
1.0,33
0.99999999,34
0.99999999,35
0.99999999,36
0.99999999,37
0.99999999,38
0.99999999,39
0.99999999,40
1.0,41
1.0,42
1.0,43
0.99999999,44
0.99999999,45
1.0,46
0.99999999,47
1.0,48
1.0,49
1.0,50
1.0,51
0.99997059,52
1.0,53
1.0,54
0.99999999,55
0.99999999,56
1.0,57
1.0,58
0.99999999,59
